Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Aug 27 1988,Sat,(2) Nebraska,23,N,(10) Texas A&M,14,
2,2,Sep 1 1988,Thu,(8) Southern California,34,@,Boston College,7,
3,2,Sep 1 1988,Thu,Wyoming,24,,Brigham Young,14,
4,2,Sep 3 1988,Sat,Air Force,29,@,Colorado State,23,
5,2,Sep 3 1988,Sat,Arizona,24,@,Oregon State,13,
6,2,Sep 3 1988,Sat,Arkansas,63,,Pacific,14,
7,2,Sep 3 1988,Sat,Ball State,13,,Toledo,3,
8,2,Sep 3 1988,Sat,Baylor,27,,Nevada-Las Vegas,3,
9,2,Sep 3 1988,Sat,Boise State,29,@,Long Beach State,10,
10,2,Sep 3 1988,Sat,(4) Clemson,40,,Virginia Tech,7,
11,2,Sep 3 1988,Sat,Duke,31,@,Northwestern,21,
12,2,Sep 3 1988,Sat,East Carolina,52,,Tennessee Tech,13,
13,2,Sep 3 1988,Sat,Eastern Michigan,24,,Miami (OH),17,
14,2,Sep 3 1988,Sat,Florida,69,,Montana State,0,
15,2,Sep 3 1988,Sat,Fresno State,68,@,New Mexico,21,
16,2,Sep 3 1988,Sat,(12) Georgia,28,,(18) Tennessee,17,
17,2,Sep 3 1988,Sat,Hawaii,27,,(9) Iowa,24,
18,2,Sep 3 1988,Sat,Kent State,34,,Youngstown State,3,
19,2,Sep 3 1988,Sat,Kentucky,18,,Central Michigan,7,
20,2,Sep 3 1988,Sat,Louisiana,24,,Cal State Fullerton,9,
21,2,Sep 3 1988,Sat,(17) Louisiana State,27,,(11) Texas A&M,0,
22,2,Sep 3 1988,Sat,Maryland,27,,Louisville,16,
23,2,Sep 3 1988,Sat,(6) Miami (FL),31,,(1) Florida State,0,
24,2,Sep 3 1988,Sat,Mississippi,24,,Memphis,6,
25,2,Sep 3 1988,Sat,Mississippi State,21,,Louisiana Tech,14,
26,2,Sep 3 1988,Sat,Navy,27,,James Madison,14,
27,2,Sep 3 1988,Sat,(2) Nebraska,63,,Utah State,13,
28,2,Sep 3 1988,Sat,North Carolina State,45,,Western Carolina,6,
29,2,Sep 3 1988,Sat,North Texas,29,@,Texas Tech,24,
30,2,Sep 3 1988,Sat,Northern Illinois,7,,Akron,6,
31,2,Sep 3 1988,Sat,Pittsburgh,59,,Northern Iowa,10,
32,2,Sep 3 1988,Sat,San Jose State,51,@,New Mexico State,0,
