TeamId,TeamName,Alias,Division,Conference,ConferenceAbbr
1,Air Force,NULL,FBS,Mountain West Conference,MW
2,Akron,NULL,FBS,Mid-American Conference,MAC
3,Alabama,NULL,FBS,Southeastern Conference,SEC
4,Appalachian State,NULL,FBS,Sun Belt Conference,Sun Belt
5,Arizona,NULL,FBS,Big 12 Conference,Big 12
6,Arizona State,NULL,FBS,Big 12 Conference,Big 12
7,Arkansas,NULL,FBS,Southeastern Conference,SEC
8,Arkansas State,NULL,FBS,Sun Belt Conference,Sun Belt
9,Army,NULL,FBS,American Athletic Conference,AAC
10,Auburn,NULL,FBS,Southeastern Conference,SEC
11,Ball State,NULL,FBS,Mid-American Conference,MAC
12,Baylor,NULL,FBS,Big 12 Conference,Big 12
13,Boise State,NULL,FBS,Mountain West Conference,MW
14,Boston College,NULL,FBS,Atlantic Coast Conference,ACC
15,Bowling Green,NULL,FBS,Mid-American Conference,MAC
16,Buffalo,NULL,FBS,Mid-American Conference,MAC
17,BYU,Brigham Young,FBS,Big 12 Conference,Big 12
18,California,NULL,FBS,Atlantic Coast Conference,ACC
19,Central Michigan,NULL,FBS,Mid-American Conference,MAC
20,Charlotte,NULL,FBS,American Athletic Conference,AAC
21,Cincinnati,NULL,FBS,Big 12 Conference,Big 12
22,Clemson,NULL,FBS,Atlantic Coast Conference,ACC
23,Coastal Carolina,NULL,FBS,Sun Belt Conference,Sun Belt
24,Colorado,NULL,FBS,Big 12 Conference,Big 12
25,Colorado State,NULL,FBS,Mountain West Conference,MW
26,Connecticut,NULL,FBS,Independent (football),IND
27,Delaware,NULL,FBS,Conference USA,C-USA
28,Duke,NULL,FBS,Atlantic Coast Conference,ACC
29,East Carolina,NULL,FBS,American Athletic Conference,AAC
30,Eastern Michigan,NULL,FBS,Mid-American Conference,MAC
31,Florida,NULL,FBS,Southeastern Conference,SEC
32,Florida Atlantic,NULL,FBS,American Athletic Conference,AAC
33,Florida International,NULL,FBS,Conference USA,C-USA
34,Florida State,NULL,FBS,Atlantic Coast Conference,ACC
35,Fresno State,NULL,FBS,Mountain West Conference,MW
36,Georgia,NULL,FBS,Southeastern Conference,SEC
37,Georgia Southern,NULL,FBS,Sun Belt Conference,Sun Belt
38,Georgia State,NULL,FBS,Sun Belt Conference,Sun Belt
39,Georgia Tech,NULL,FBS,Atlantic Coast Conference,ACC
40,Hawaii,NULL,FBS,Mountain West Conference,MW
41,Houston,NULL,FBS,Big 12 Conference,Big 12
42,Illinois,NULL,FBS,Big Ten Conference,Big Ten
43,Indiana,NULL,FBS,Big Ten Conference,Big Ten
44,Iowa,NULL,FBS,Big Ten Conference,Big Ten
45,Iowa State,NULL,FBS,Big 12 Conference,Big 12
46,Jacksonville State,NULL,FBS,Conference USA,C-USA
47,James Madison,NULL,FBS,Sun Belt Conference,Sun Belt
48,Kansas,NULL,FBS,Big 12 Conference,Big 12
49,Kansas State,NULL,FBS,Big 12 Conference,Big 12
50,Kennesaw State,NULL,FBS,Conference USA,C-USA
51,Kent State,NULL,FBS,Mid-American Conference,MAC
52,Kentucky,NULL,FBS,Southeastern Conference,SEC
53,Liberty,NULL,FBS,Conference USA,C-USA
54,Louisiana,NULL,FBS,Sun Belt Conference,Sun Belt
55,Louisiana Tech,NULL,FBS,Conference USA,C-USA
56,Louisiana-Monroe,NULL,FBS,Sun Belt Conference,Sun Belt
57,Louisville,NULL,FBS,Atlantic Coast Conference,ACC
58,LSU,Louisiana State,FBS,Southeastern Conference,SEC
59,Marshall,NULL,FBS,Sun Belt Conference,Sun Belt
60,Maryland,NULL,FBS,Big Ten Conference,Big Ten
61,Massachusetts,NULL,FBS,Mid-American Conference,MAC
62,Memphis,NULL,FBS,American Athletic Conference,AAC
63,Miami (FL),NULL,FBS,Atlantic Coast Conference,ACC
64,Miami (OH),NULL,FBS,Mid-American Conference,MAC
65,Michigan,NULL,FBS,Big Ten Conference,Big Ten
66,Michigan State,NULL,FBS,Big Ten Conference,Big Ten
67,Middle Tennessee State,NULL,FBS,Conference USA,C-USA
68,Minnesota,NULL,FBS,Big Ten Conference,Big Ten
69,Mississippi State,NULL,FBS,Southeastern Conference,SEC
70,Missouri,NULL,FBS,Southeastern Conference,SEC
71,Missouri State,NULL,FBS,Conference USA,C-USA
72,Navy,NULL,FBS,American Athletic Conference,AAC
73,Nebraska,NULL,FBS,Big Ten Conference,Big Ten
74,Nevada,NULL,FBS,Mountain West Conference,MW
75,Nevada-Las Vegas,NULL,FBS,Mountain West Conference,MW
76,New Mexico,NULL,FBS,Mountain West Conference,MW
77,New Mexico State,NULL,FBS,Conference USA,C-USA
78,North Carolina,NULL,FBS,Atlantic Coast Conference,ACC
79,North Carolina State,NULL,FBS,Atlantic Coast Conference,ACC
80,North Texas,NULL,FBS,American Athletic Conference,AAC
81,Northern Illinois,NULL,FBS,Mid-American Conference,MAC
82,Northwestern,NULL,FBS,Big Ten Conference,Big Ten
83,Notre Dame,NULL,FBS,Independent (football),IND
84,Ohio,NULL,FBS,Mid-American Conference,MAC
85,Ohio State,NULL,FBS,Big Ten Conference,Big Ten
86,Oklahoma,NULL,FBS,Southeastern Conference,SEC
87,Oklahoma State,NULL,FBS,Big 12 Conference,Big 12
88,Old Dominion,NULL,FBS,Sun Belt Conference,Sun Belt
89,Ole Miss,Mississippi,FBS,Southeastern Conference,SEC
90,Oregon,NULL,FBS,Big Ten Conference,Big Ten
91,Oregon State,NULL,FBS,Pac-12 Conference,Pac-12
92,Penn State,NULL,FBS,Big Ten Conference,Big Ten
93,Pitt,Pittsburgh,FBS,Atlantic Coast Conference,ACC
94,Purdue,NULL,FBS,Big Ten Conference,Big Ten
95,Rice,NULL,FBS,American Athletic Conference,AAC
96,Rutgers,NULL,FBS,Big Ten Conference,Big Ten
97,Sam Houston,NULL,FBS,Conference USA,C-USA
98,San Diego State,NULL,FBS,Mountain West Conference,MW
99,San Jose State,NULL,FBS,Mountain West Conference,MW
100,SMU,Southern Methodist,FBS,Atlantic Coast Conference,ACC
101,South Alabama,NULL,FBS,Sun Belt Conference,Sun Belt
102,South Carolina,NULL,FBS,Southeastern Conference,SEC
103,South Florida,NULL,FBS,American Athletic Conference,AAC
104,Southern Mississippi,NULL,FBS,Sun Belt Conference,Sun Belt
105,Stanford,NULL,FBS,Atlantic Coast Conference,ACC
106,Syracuse,NULL,FBS,Atlantic Coast Conference,ACC
107,TCU,Texas Christian,FBS,Big 12 Conference,Big 12
108,Temple,NULL,FBS,American Athletic Conference,AAC
109,Tennessee,NULL,FBS,Southeastern Conference,SEC
110,Texas,NULL,FBS,Southeastern Conference,SEC
111,Texas A&M,NULL,FBS,Southeastern Conference,SEC
112,Texas State,NULL,FBS,Sun Belt Conference,Sun Belt
113,Texas Tech,NULL,FBS,Big 12 Conference,Big 12
114,Toledo,NULL,FBS,Mid-American Conference,MAC
115,Troy,NULL,FBS,Sun Belt Conference,Sun Belt
116,Tulane,NULL,FBS,American Athletic Conference,AAC
117,Tulsa,NULL,FBS,American Athletic Conference,AAC
118,UAB,Alabama-Birmingham,FBS,American Athletic Conference,AAC
119,UCF,Central Florida,FBS,Big 12 Conference,Big 12
120,UCLA,NULL,FBS,Big Ten Conference,Big Ten
121,USC,Southern California,FBS,Big Ten Conference,Big Ten
122,Utah,NULL,FBS,Big 12 Conference,Big 12
123,Utah State,NULL,FBS,Mountain West Conference,MW
124,UTEP,Texas-El Paso,FBS,Conference USA,C-USA
125,UTSA,Texas-San Antonio,FBS,American Athletic Conference,AAC
126,Vanderbilt,NULL,FBS,Southeastern Conference,SEC
127,Virginia,NULL,FBS,Atlantic Coast Conference,ACC
128,Virginia Tech,NULL,FBS,Atlantic Coast Conference,ACC
129,Wake Forest,NULL,FBS,Atlantic Coast Conference,ACC
130,Washington,NULL,FBS,Big Ten Conference,Big Ten
131,Washington State,NULL,FBS,Pac-12 Conference,Pac-12
132,West Virginia,NULL,FBS,Big 12 Conference,Big 12
133,Western Kentucky,NULL,FBS,Conference USA,C-USA
134,Western Michigan,NULL,FBS,Mid-American Conference,MAC
135,Wisconsin,NULL,FBS,Big Ten Conference,Big Ten
136,Wyoming,NULL,FBS,Mountain West Conference,MW
137,Abilene Christian,NULL,FCS,United Athletic Conference,UAC
138,Alabama A&M,NULL,FCS,Southwestern Athletic Conference,SWAC
139,Alabama State,NULL,FCS,Southwestern Athletic Conference,SWAC
