TeamID,TeamName,Alias,Division,Conference,ConferenceAbbr,ShortName
1,"Air Force",NULL,"FBS","Mountain West Conference","MW","Air Force"
2,"Akron",NULL,"FBS","Mid-American Conference","MAC","Akron"
3,"Alabama",NULL,"FBS","Southeastern Conference","SEC","Alabama"
4,"Appalachian State",NULL,"FBS","Sun Belt Conference","Sun Belt","App State"
5,"Arizona",NULL,"FBS","Big 12 Conference","Big 12","Arizona"
6,"Arizona State",NULL,"FBS","Big 12 Conference","Big 12","Ariz State"
7,"Arkansas",NULL,"FBS","Southeastern Conference","SEC","Arkansas"
8,"Arkansas State",NULL,"FBS","Sun Belt Conference","Sun Belt","Ark State"
9,"Army",NULL,"FBS","American Athletic Conference","AAC","Army"
10,"Auburn",NULL,"FBS","Southeastern Conference","SEC","Auburn"
11,"Ball State",NULL,"FBS","Mid-American Conference","MAC","Ball State"
12,"Baylor",NULL,"FBS","Big 12 Conference","Big 12","Baylor"
13,"Boise State",NULL,"FBS","Mountain West Conference","MW","Boise State"
14,"Boston College",NULL,"FBS","Atlantic Coast Conference","ACC","Boston Col"
15,"Bowling Green",NULL,"FBS","Mid-American Conference","MAC","Bowl Green"
16,"Buffalo",NULL,"FBS","Mid-American Conference","MAC","Buffalo"
17,"BYU","Brigham Young","FBS","Big 12 Conference","Big 12","BYU"
18,"California",NULL,"FBS","Atlantic Coast Conference","ACC","California"
19,"Central Michigan",NULL,"FBS","Mid-American Conference","MAC","Cent Mich"
20,"Charlotte",NULL,"FBS","American Athletic Conference","AAC","Charlotte"
21,"Cincinnati",NULL,"FBS","Big 12 Conference","Big 12","Cincinnati"
22,"Clemson",NULL,"FBS","Atlantic Coast Conference","ACC","Clemson"
23,"Coastal Carolina",NULL,"FBS","Sun Belt Conference","Sun Belt","Cstl Carol"
24,"Colorado",NULL,"FBS","Big 12 Conference","Big 12","Colorado"
25,"Colorado State",NULL,"FBS","Mountain West Conference","MW","Colo State"
26,"Connecticut",NULL,"FBS","Independent (football)","IND","UConn"
27,"Delaware",NULL,"FBS","Conference USA","C-USA","Delaware"
28,"Duke",NULL,"FBS","Atlantic Coast Conference","ACC","Duke"
29,"East Carolina",NULL,"FBS","American Athletic Conference","AAC","E Carolina"
30,"Eastern Michigan",NULL,"FBS","Mid-American Conference","MAC","E Michigan"
31,"Florida",NULL,"FBS","Southeastern Conference","SEC","Florida"
32,"Florida Atlantic",NULL,"FBS","American Athletic Conference","AAC","Fla Atlant"
33,"Florida International",NULL,"FBS","Conference USA","C-USA","FIU"
34,"Florida State",NULL,"FBS","Atlantic Coast Conference","ACC","Florida St"
35,"Fresno State",NULL,"FBS","Mountain West Conference","MW","Fresno St"
